decimal year,genome cost
2000.976199,98456239.32
2001.047822,97503514.55
2001.493155,72128700.55
2001.564779,71430737.67
2002.009511,63687478.4
2002.081116,62704296.15
2002.525893,55366012.09
2002.597504,54617407.41
2003.115796,41842885.08
2003.181236,40923155.32
2003.368742,29142514.89
2003.440334,29714811.05
2003.623073,20633103.87
2003.699432,21102034.29
2003.885873,20257592.84
2003.957497,20455533.5
2004.134533,18777970.34
2004.206163,18924613.87
2004.387921,17660256.09
2004.46428,18061622.32
2004.650895,16451905.88
2004.7225,16709866.22
2004.899342,16261052.38
2004.970907,16709866.22
2005.167361,13972376.2
2005.238991,14081491.22
2005.416059,12801578.2
2005.487657,13027613.48
2005.669513,11805165.29
2005.745877,12052609.37
2005.932312,11592822.58
2006.003916,11774594.13
2006.181004,10642092.44
2006.252608,10808956.87
2006.434573,9478218.73
2006.510931,9693631.061
2006.697431,9144261.742
2006.768996,9396648.315
2006.94589,9003096.225
2007.017456,9251586.553
2007.212572,7163167.475
2007.285746,7325965.428
2007.465383,3071362.526
2007.536994,3113459.661
2007.732157,1374139.704
2007.797642,1386410.669
2007.985955,757221.5636
2008.05754,773594.7496
2008.23699,343141.2848
2008.308556,352612.1699
2008.486676,233476.5371
2008.558306,235299.8345
2008.75556,154592.7736
2008.827165,157016.7363
2009.005169,107669.9706
2009.07676,109784.3767
2009.259792,69798.13908
2009.336168,71015.20603
2009.523875,46566.57799
2009.595473,47388.7961
2009.773606,31255.93049
2009.845171,32118.61109
2010.041147,31013.73374
2010.112739,31622.7766
2010.289774,29029.38518
2010.361379,29484.55616
2010.544087,20668.8025
2010.610845,21432.90708
2010.805985,16480.37035
2010.879136,16971.8713
2011.057508,10416.85182
2011.129119,10559.62872
2011.311723,7636.298261
2011.38807,7836.897095
2011.574484,7586.956038
2011.646075,7735.947496
2011.823769,5823.749722
2011.895335,5984.488366
2012.076892,5932.985313
2012.153245,6078.323128
2012.339305,6544.528727
2012.410897,6673.049161
2012.58821,5634.360031
2012.659821,5711.586478
2012.852247,5749.79697
2012.917731,5801.142231